,Country,ISO_A3,Stage,Status,Emerging,Controlling,Winning
240,Timor-Leste,TLS,3,Winning,0.029480457305908203,3.63178551197052,99.40925240516663
241,Togo,TGO,1,Emerging,60.95993518829346,33.58975648880005,8.850163221359253
242,Trinidad and Tobago,TTO,3,Winning,0.2322852611541748,10.629016160964966,96.7544674873352
243,Tunisia,TUN,3,Winning,5.16798198223114,38.122886419296265,60.395824909210205
244,Turkey,TUR,2,Controlling,18.598884344100952,47.51499593257904,27.92365550994873
245,US,USA,1,Emerging,48.302146792411804,47.16227352619171,10.052275657653809
246,Uganda,UGA,1,Emerging,86.48988008499146,26.23998522758484,4.094398021697998
247,Ukraine,UKR,1,Emerging,64.4427239894867,42.95303821563721,6.235578656196594
248,United Arab Emirates,ARE,1,Emerging,77.71766185760498,33.86617302894592,4.0393829345703125
249,Anguilla (United Kingdom),AIA,3,Winning,0.010570883750915527,2.1685272455215454,99.7249960899353
250,Bermuda (United Kingdom),BMU,2,Controlling,18.735849857330322,39.40604329109192,31.347471475601196
251,British Virgin Islands (United Kingdom),VGB,3,Winning,1.0723590850830078,22.457295656204224,87.07401752471924
252,Cayman Islands (United Kingdom),CYM,1,Emerging,61.59857511520386,30.880361795425415,8.380380272865295
253,Channel Islands (United Kingdom),GB-CHA,3,Winning,2.0272135734558105,29.593366384506226,78.67919206619263
254,Falkland Islands (Malvinas) (United Kingdom),FLK,3,Winning,0.1920461654663086,9.72624123096466,97.17370867729187
255,Gibraltar (United Kingdom),GIB,3,Winning,5.149710178375244,27.451366186141968,68.72676610946655
256,Isle of Man (United Kingdom),IMN,3,Winning,1.9466131925582886,29.75296974182129,79.01883721351624
257,Montserrat (United Kingdom),MSR,3,Winning,0.47555863857269287,15.036076307296753,93.64250898361206
258,Turks and Caicos Islands (United Kingdom),TCA,3,Winning,0.3647059202194214,13.547977805137634,95.00754475593567
259,United Kingdom,GBR,2,Controlling,32.42804408073425,49.98410940170288,16.086775064468384
260,Uruguay,URY,2,Controlling,19.304412603378296,42.26504564285278,29.68161106109619
261,Uzbekistan,UZB,1,Emerging,57.10340142250061,39.02515470981598,8.98331105709076
262,Venezuela,VEN,1,Emerging,90.15154838562012,18.116042017936707,2.480393648147583
263,Vietnam,VNM,3,Winning,3.161349892616272,33.64633023738861,70.68332433700562
264,West Bank and Gaza,PSE,2,Controlling,28.080153465270996,42.8414523601532,20.756781101226807
265,Western Sahara,ESH,3,Winning,3.34416925907135,8.961236476898193,84.56634283065796
266,Yemen,YEM,1,Emerging,86.25295758247375,17.214256525039673,4.143467545509338
267,Zambia,ZMB,3,Winning,27.025896310806274,18.17266345024109,34.14354920387268
268,Zimbabwe,ZWE,1,Emerging,69.53997611999512,16.64036363363266,16.891305148601532
