,Country,ISO_A3,Stage,Status,Emerging,Controlling,Winning
0,Afghanistan,AFG,1,Emerging,90.39371013641357,22.711017727851868,1.9643604755401611
1,Albania,ALB,1,Emerging,55.14070987701416,46.20783030986786,8.059677481651306
2,Algeria,DZA,2,Controlling,43.956971168518066,47.76261746883392,11.377277970314026
3,Andorra,AND,3,Winning,8.934912085533142,36.03208065032959,50.46241283416748
4,Angola,AGO,1,Emerging,45.43103575706482,39.22995626926422,12.565422058105469
5,Antigua and Barbuda,ATG,3,Winning,2.191409468650818,27.37792134284973,78.79869937896729
6,Argentina,ARG,1,Emerging,90.6938374042511,22.570854425430298,1.9137263298034668
7,Armenia,ARM,1,Emerging,91.2084698677063,21.665653586387634,1.824408769607544
8,Australian Capital Territory (Australia),,3,Winning,0.14642179012298584,8.385196328163147,97.83872961997986
9,New South Wales (Australia),,3,Winning,0.9945899248123169,21.831360459327698,88.14989924430847
10,Northern Territory (Australia),,3,Winning,0.3427743911743164,13.212859630584717,95.26897668838501
11,Queensland (Australia),,3,Winning,0.9999632835388184,22.36684560775757,87.92623281478882
12,South Australia (Australia),,3,Winning,0.351792573928833,13.614729046821594,95.16608715057373
13,Tasmania (Australia),,3,Winning,2.937909960746765,35.16172766685486,71.0390567779541
14,Victoria (Australia),,3,Winning,3.5919874906539917,33.30204486846924,69.12806630134583
15,Western Australia (Australia),,3,Winning,2.3376792669296265,27.283424139022827,78.15560102462769
16,Australia,AUS,3,Winning,1.483502984046936,25.20420551300049,83.78241062164307
17,Austria,AUT,3,Winning,2.470475435256958,30.2834689617157,76.11355781555176
18,Azerbaijan,AZE,1,Emerging,91.12875461578369,21.83128297328949,1.8548548221588135
19,Bahamas,BHS,3,Winning,7.949221134185791,44.899001717567444,46.99668884277344
20,Bahrain,BHR,1,Emerging,88.55324983596802,25.758633017539978,2.2502154111862183
21,Bangladesh,BGD,1,Emerging,91.38247966766357,20.84207832813263,1.8151640892028809
22,Barbados,BRB,3,Winning,2.40534245967865,32.570451498031616,75.06107091903687
23,Belarus,BLR,1,Emerging,66.55720472335815,41.50448143482208,5.900445580482483
24,Belgium,BEL,2,Controlling,11.157387495040894,48.705536127090454,37.689536809921265
25,Belize,BLZ,3,Winning,0.8146286010742188,16.004958748817444,91.20690822601318
26,Benin,BEN,3,Winning,0.04361271858215332,9.154051542282104,98.87465238571167
27,Bhutan,BTN,1,Emerging,89.8580014705658,18.81701648235321,2.5629043579101562
28,Bolivia,BOL,1,Emerging,91.3469135761261,20.049041509628296,1.8189877271652222
29,Bosnia and Herzegovina,BIH,2,Controlling,30.765151977539062,51.14303231239319,17.105460166931152
30,Botswana,BWA,2,Controlling,35.02461910247803,40.351223945617676,18.124431371688843
31,Brazil,BRA,1,Emerging,90.76930284500122,21.76583707332611,1.9030332565307617
32,Brunei,BRN,3,Winning,0.43142735958099365,15.020161867141724,94.19370889663696
33,Bulgaria,BGR,2,Controlling,41.771483421325684,49.35574531555176,12.476611137390137
34,Burkina Faso,BFA,2,Controlling,12.98592984676361,46.088144183158875,35.91387867927551
35,Burma,MMR,2,Controlling,26.861900091171265,38.22221755981445,23.5165536403656
36,Burundi,BDI,1,Emerging,88.02690505981445,17.87896752357483,3.1981676816940308
37,Cabo Verde,CPV,1,Emerging,81.24643564224243,28.469061851501465,3.8693517446517944
38,Cambodia,KHM,3,Winning,0.12867450714111328,7.5883567333221436,98.09536933898926
39,Cameroon,CMR,1,Emerging,85.70342063903809,27.14829444885254,2.869582176208496
40,Alberta (Canada),,2,Controlling,10.420671105384827,46.62622809410095,40.61710238456726
41,British Columbia (Canada),,2,Controlling,10.643357038497925,46.20192348957062,40.27256369590759
42,Diamond Princess (Canada),,3,Winning,7.748603820800781e-05,0.6645798683166504,99.98862147331238
43,Grand Princess (Canada),,3,Winning,0.0193864107131958,2.9234111309051514,99.56934452056885
44,Manitoba (Canada),,3,Winning,0.7460743188858032,17.458578944206238,91.27404689788818
45,New Brunswick (Canada),,3,Winning,5.419713258743286,24.949201941490173,69.08327341079712
46,Newfoundland and Labrador (Canada),,3,Winning,0.1887798309326172,9.927761554718018,97.22428321838379
47,Northwest Territories (Canada),,3,Winning,0.09068548679351807,6.155335903167725,98.51007461547852
48,Nova Scotia (Canada),,3,Winning,6.331723928451538,44.71631050109863,51.860105991363525
49,Ontario (Canada),,2,Controlling,46.81465029716492,48.22837710380554,10.29389202594757
50,Prince Edward Island (Canada),,3,Winning,0.12867450714111328,8.056166768074036,98.01889657974243
51,Quebec (Canada),,2,Controlling,23.052978515625,51.26803517341614,21.807390451431274
52,Saskatchewan (Canada),,3,Winning,6.229245662689209,41.50713086128235,54.216909408569336
53,Yukon (Canada),,3,Winning,0.47066211700439453,15.052250027656555,93.66040229797363
54,Canada,CAN,2,Controlling,31.67027235031128,51.871949434280396,15.845581889152527
55,Central African Republic,CAF,1,Emerging,88.75724077224731,19.435667991638184,3.2683759927749634
56,Chad,TCD,3,Winning,16.8186753988266,35.11213660240173,35.37346124649048
57,Chile,CHL,1,Emerging,90.40327072143555,23.129713535308838,1.963120698928833
58,Anhui (China),,3,Winning,0.0,0.00011622905731201172,100.0
59,Beijing (China),,3,Winning,0.0,0.00743865966796875,99.99991655349731
60,Chongqing (China),,3,Winning,0.0,0.00011920928955078125,100.0
61,Fujian (China),,3,Winning,0.0,0.0011473894119262695,99.99998807907104
62,Gansu (China),,3,Winning,0.0,0.00992119312286377,99.99988079071045
63,Guangdong (China),,3,Winning,0.0,0.0009179115295410156,100.0
64,Guangxi (China),,3,Winning,0.0,0.00013113021850585938,100.0
65,Guizhou (China),,3,Winning,0.0,0.00011920928955078125,100.0
66,Hainan (China),,3,Winning,0.0,0.00012218952178955078,100.0
67,Hebei (China),,3,Winning,0.0,0.00020563602447509766,100.0
68,Heilongjiang (China),,3,Winning,1.1920928955078125e-05,0.06949305534362793,99.99823570251465
69,Henan (China),,3,Winning,0.0,0.00011622905731201172,100.0
70,Hong Kong (China),HKG,3,Winning,1.4202296733856201,22.10323214530945,85.40420532226562
71,Hubei (China),,3,Winning,0.0,0.00021457672119140625,100.0
72,Hunan (China),,3,Winning,0.0,0.00011622905731201172,100.0
73,Inner Mongolia (China),,3,Winning,0.0013440847396850586,0.7982045412063599,99.93937015533447
74,Jiangsu (China),,3,Winning,0.0,0.0001728534698486328,100.0
75,Jiangxi (China),,3,Winning,0.0,0.00011026859283447266,100.0
76,Jilin (China),,3,Winning,0.0,0.02174079418182373,99.9996542930603
77,Liaoning (China),,3,Winning,0.0,0.0012516975402832031,99.99999403953552
78,Macau (China),MAC,3,Winning,0.015315413475036621,2.7410298585891724,99.64038729667664
79,Ningxia (China),,3,Winning,0.0,0.00019669532775878906,100.0
80,Qinghai (China),,3,Winning,0.0,0.00010728836059570312,100.0
81,Shaanxi (China),,3,Winning,0.0,0.0017464160919189453,99.99998807907104
82,Shandong (China),,3,Winning,0.0,0.00028014183044433594,100.0
83,Shanghai (China),,3,Winning,1.1920928955078125e-05,0.08099675178527832,99.99771118164062
84,Shanxi (China),,3,Winning,0.0,0.008156895637512207,99.99990463256836
85,Sichuan (China),,3,Winning,0.0,0.0003606081008911133,99.99999403953552
86,Tianjin (China),,3,Winning,0.0,0.0056803226470947266,99.99994039535522
87,Tibet (China),,3,Winning,0.0,0.00010728836059570312,100.0
88,Xinjiang (China),,3,Winning,0.0,0.00010728836059570312,100.0
89,Yunnan (China),,3,Winning,0.0,0.00023245811462402344,100.0
90,Zhejiang (China),,3,Winning,0.0,0.00021159648895263672,100.0
91,China,CHN,3,Winning,0.0,0.0003069639205932617,100.0
92,Colombia,COL,1,Emerging,91.22282862663269,22.204691171646118,1.8202215433120728
93,Comoros,COM,3,Winning,30.49594759941101,10.801038146018982,36.54511272907257
94,Congo (Brazzaville),COG,1,Emerging,61.482369899749756,41.134703159332275,7.254987955093384
95,Congo (Kinshasa),COD,1,Emerging,88.55845928192139,24.854063987731934,2.2466540336608887
96,Costa Rica,CRI,1,Emerging,74.49319958686829,33.491745591163635,5.1680028438568115
97,Cote d'Ivoire,CIV,1,Emerging,86.80517673492432,28.2048761844635,2.567499876022339
98,Croatia,HRV,3,Winning,4.567927122116089,40.65467715263367,60.47912240028381
99,Cuba,CUB,2,Controlling,31.831270456314087,48.937320709228516,16.724854707717896
100,Cyprus,CYP,2,Controlling,9.127753973007202,45.665013790130615,43.97052228450775
101,Czechia,CZE,2,Controlling,14.026609063148499,46.38154208660126,34.459686279296875
102,Faroe Islands (Denmark),FRO,3,Winning,0.17195045948028564,9.364259243011475,97.4582850933075
103,Greenland (Denmark),GRL,3,Winning,0.23277103900909424,10.385388135910034,96.73230648040771
104,Denmark,DNK,2,Controlling,15.68526029586792,51.20149850845337,29.400742053985596
105,Diamond Princess,,3,Winning,0.0,0.00020265579223632812,100.0
106,Djibouti,DJI,1,Emerging,80.04119396209717,24.099579453468323,4.499033093452454
107,Dominica,DMA,3,Winning,0.18370449542999268,6.145775318145752,97.86593914031982
108,Dominican Republic,DOM,1,Emerging,68.62080693244934,41.457682847976685,5.467620491981506
109,Ecuador,ECU,2,Controlling,24.340760707855225,40.93649983406067,25.22531747817993
110,Egypt,EGY,1,Emerging,91.43263101577759,20.81393003463745,1.7894268035888672
111,El Salvador,SLV,1,Emerging,82.70402550697327,31.255602836608887,3.1345903873443604
112,Equatorial Guinea,GNQ,2,Controlling,23.006847500801086,37.64625787734985,25.25390088558197
113,Eritrea,ERI,3,Winning,0.27481019496917725,11.796101927757263,96.10306024551392
114,Estonia,EST,2,Controlling,11.337268352508545,44.794753193855286,39.88810479640961
115,Eswatini,SWZ,1,Emerging,58.19007754325867,40.188804268836975,8.815032243728638
116,Ethiopia,ETH,1,Emerging,88.82150650024414,17.931705713272095,3.2851994037628174
117,Fiji,FJI,3,Winning,0.6047159433364868,17.568236589431763,92.1552836894989
118,Finland,FIN,2,Controlling,20.81238329410553,54.40788269042969,22.498062252998352
119,French Guiana (France),GUF,1,Emerging,91.50969982147217,21.96424901485443,1.7780125141143799
120,French Polynesia (France),PYF,3,Winning,1.1289030313491821,23.677241802215576,86.48031949996948
121,Guadeloupe (France),GLP,3,Winning,1.1608660221099854,21.954375505447388,87.01972961425781
122,Martinique (France),MTQ,3,Winning,2.802395820617676,31.68160915374756,73.67276549339294
123,Mayotte (France),MYT,1,Emerging,71.6595709323883,39.29111957550049,4.879707098007202
124,New Caledonia (France),NCL,3,Winning,0.09163618087768555,4.874655604362488,98.70729446411133
125,Reunion (France),REU,3,Winning,1.8184959888458252,25.000715255737305,81.93483352661133
126,Saint Barthelemy (France),BLM,3,Winning,0.13910233974456787,7.652890682220459,97.8838324546814
127,Saint Pierre and Miquelon (France),SPM,3,Winning,0.0022172927856445312,0.891721248626709,99.91164207458496
128,St Martin (France),MAF,3,Winning,2.6324421167373657,31.236544251441956,74.66022968292236
129,France,FRA,3,Winning,8.00313949584961,43.52436661720276,47.8624552488327
130,Gabon,GAB,1,Emerging,62.819504737854004,35.168296098709106,7.524460554122925
131,Gambia,GMB,2,Controlling,13.493573665618896,41.73875153064728,40.05784094333649
132,Georgia,GEO,2,Controlling,33.09332728385925,51.59999132156372,14.85970914363861
133,Germany,DEU,3,Winning,7.5659602880477905,44.30730938911438,48.53830635547638
134,Ghana,GHA,1,Emerging,78.40662002563477,34.88811254501343,3.8876712322235107
135,Greece,GRC,2,Controlling,13.569319248199463,48.32761287689209,34.53429043292999
136,Grenada,GRD,3,Winning,0.8295804262161255,20.426836609840393,89.62361812591553
137,Guatemala,GTM,1,Emerging,91.52299761772156,21.01353108882904,1.7882674932479858
138,Guinea,GIN,1,Emerging,60.6223464012146,43.687620759010315,6.915530562400818
